technique_name,dataset_name,dataset_size,num_iterations,ratio,average_compression_time_ms,std_compression_time_ms,average_decompression_time_ms,std_decompression_time_ms
LZ4,pgm/mapa1.pgm,344065,1000,49.3142,0.0823135,0.00605567,0.0797631,0.00581122,
LZ4 HC,pgm/mapa1.pgm,344065,1000,83.4907,10.1794,0.382638,0.0643289,0.0174774,
DEFLATE (zlib),pgm/mapa1.pgm,344065,1000,107.52,3.7024,0.0677063,0.641187,0.0336577,
DEFLATE (zlib) Fast,pgm/mapa1.pgm,344065,1000,61.5611,1.25131,0.0442135,0.415442,0.0312175,
DEFLATE (zlib) Slow,pgm/mapa1.pgm,344065,1000,132.69,14.7488,0.21708,0.578732,0.017219,
LZMA,pgm/mapa1.pgm,344065,1000,145.298,43.2482,2.01436,0.564501,0.0414538,
LZMA Fast,pgm/mapa1.pgm,344065,1000,135.887,4.79852,0.102667,0.555018,0.0231631,
LZMA Slow,pgm/mapa1.pgm,344065,1000,150.773,79.143,1.19654,0.551693,0.0414645,
QuickLZ,pgm/mapa1.pgm,344065,1000,33.9717,0.379278,0.0765319,0.156458,0.0124806,
LZ4,pgm/mapa2.pgm,322561,1000,82.6656,0.0650264,0.00790781,0.0664379,0.00565566,
LZ4 HC,pgm/mapa2.pgm,322561,1000,122.044,13.2196,0.341774,0.059922,0.00554883,
DEFLATE (zlib),pgm/mapa2.pgm,322561,1000,178.112,3.15863,0.071927,0.61896,0.0309715,
DEFLATE (zlib) Fast,pgm/mapa2.pgm,322561,1000,90.8111,1.08174,0.0547655,0.367584,0.0350554,
DEFLATE (zlib) Slow,pgm/mapa2.pgm,322561,1000,221.084,9.53307,0.158454,0.59056,0.0176625,
LZMA,pgm/mapa2.pgm,322561,1000,277.353,37.3663,0.819547,0.490233,0.0197308,
LZMA Fast,pgm/mapa2.pgm,322561,1000,247.173,4.31143,0.0879603,0.541702,0.0253586,
LZMA Slow,pgm/mapa2.pgm,322561,1000,275.693,71.8112,3.73217,0.556863,0.0342944,
QuickLZ,pgm/mapa2.pgm,322561,1000,48.418,0.337834,0.0643183,0.127466,0.0108478,
LZ4,pgm/intel.pgm,753025,1000,11.7414,0.392465,0.0660381,0.353947,0.0289877,
LZ4 HC,pgm/intel.pgm,753025,1000,22.8501,80.8538,3.01647,0.218203,0.0152776,
DEFLATE (zlib),pgm/intel.pgm,753025,1000,27.7265,13.7919,0.241091,1.38172,0.0340669,
DEFLATE (zlib) Fast,pgm/intel.pgm,753025,1000,18.4737,4.13682,0.231201,1.33278,0.117475,
DEFLATE (zlib) Slow,pgm/intel.pgm,753025,1000,31.6331,100.987,6.65771,1.27198,0.124141,
LZMA,pgm/intel.pgm,753025,1000,31.92,114.771,4.35512,2.16288,0.159086,
LZMA Fast,pgm/intel.pgm,753025,1000,29.8251,15.6354,0.48883,2.36904,0.130495,
LZMA Slow,pgm/intel.pgm,753025,1000,34.0289,214.817,14.0456,2.14641,0.151057,
QuickLZ,pgm/intel.pgm,753025,1000,10.5187,1.13194,0.062332,0.690918,0.0275379,
LZ4,pgm/aces.pgm,1280287,1000,12.5734,0.644043,0.03153,0.575276,0.034835,
LZ4 HC,pgm/aces.pgm,1280287,1000,25.8623,114.842,7.46831,0.342066,0.0327861,
DEFLATE (zlib),pgm/aces.pgm,1280287,1000,30.4135,22.2397,0.571138,2.16099,0.0867759,
DEFLATE (zlib) Fast,pgm/aces.pgm,1280287,1000,19.573,6.92613,0.464029,2.18567,0.150117,
DEFLATE (zlib) Slow,pgm/aces.pgm,1280287,1000,35.4023,155.925,6.01976,1.85759,0.0907377,
LZMA,pgm/aces.pgm,1280287,1000,34.815,175.255,6.03465,3.41006,0.229006,
LZMA Fast,pgm/aces.pgm,1280287,1000,32.8633,25.0248,1.038,3.64957,0.264388,
LZMA Slow,pgm/aces.pgm,1280287,1000,37.7465,304.348,12.7737,3.28491,0.215519,
QuickLZ,pgm/aces.pgm,1280287,1000,10.9759,1.98053,0.19216,1.22134,0.103867,
