technique_name,dataset_name,dataset_size,num_iterations,ratio,average_compression_time_ms,std_compression_time_ms,average_decompression_time_ms,std_decompression_time_ms
LZ4,pgm/intel.pgm,753025,1000,11.7414,0.392465,0.0660381,0.353947,0.0289877,
LZ4 HC,pgm/intel.pgm,753025,1000,22.8501,80.8538,3.01647,0.218203,0.0152776,
DEFLATE (zlib),pgm/intel.pgm,753025,1000,27.7265,13.7919,0.241091,1.38172,0.0340669,
DEFLATE (zlib) Fast,pgm/intel.pgm,753025,1000,18.4737,4.13682,0.231201,1.33278,0.117475,
DEFLATE (zlib) Slow,pgm/intel.pgm,753025,1000,31.6331,100.987,6.65771,1.27198,0.124141,
LZMA,pgm/intel.pgm,753025,1000,31.92,114.771,4.35512,2.16288,0.159086,
LZMA Fast,pgm/intel.pgm,753025,1000,29.8251,15.6354,0.48883,2.36904,0.130495,
LZMA Slow,pgm/intel.pgm,753025,1000,34.0289,214.817,14.0456,2.14641,0.151057,
QuickLZ,pgm/intel.pgm,753025,1000,10.5187,1.13194,0.062332,0.690918,0.0275379,
LZ4,pgm/aces.pgm,1280287,1000,12.5734,0.644043,0.03153,0.575276,0.034835,
LZ4 HC,pgm/aces.pgm,1280287,1000,25.8623,114.842,7.46831,0.342066,0.0327861,
DEFLATE (zlib),pgm/aces.pgm,1280287,1000,30.4135,22.2397,0.571138,2.16099,0.0867759,
DEFLATE (zlib) Fast,pgm/aces.pgm,1280287,1000,19.573,6.92613,0.464029,2.18567,0.150117,
DEFLATE (zlib) Slow,pgm/aces.pgm,1280287,1000,35.4023,155.925,6.01976,1.85759,0.0907377,
LZMA,pgm/aces.pgm,1280287,1000,34.815,175.255,6.03465,3.41006,0.229006,
LZMA Fast,pgm/aces.pgm,1280287,1000,32.8633,25.0248,1.038,3.64957,0.264388,
LZMA Slow,pgm/aces.pgm,1280287,1000,37.7465,304.348,12.7737,3.28491,0.215519,
QuickLZ,pgm/aces.pgm,1280287,1000,10.9759,1.98053,0.19216,1.22134,0.103867,
