technique_name,dataset_name,dataset_size,num_iterations,ratio,average_compression_time_ms,std_compression_time_ms,average_decompression_time_ms,std_decompression_time_ms
LZ4,pgm/csail.pgm,1929177,100,18.2356,0.834854,0.0545583,0.763639,0.0864404,
LZ4 HC,pgm/csail.pgm,1929177,100,35.9525,190.878,9.5325,0.445323,0.0239104,
DEFLATE (zlib),pgm/csail.pgm,1929177,100,43.2735,29.5952,1.46948,3.74519,0.190437,
DEFLATE (zlib) Fast,pgm/csail.pgm,1929177,100,26.8183,10.025,0.94204,3.10749,0.20686,
DEFLATE (zlib) Slow,pgm/csail.pgm,1929177,100,49.2049,158.206,5.45195,3.44409,0.231456,
LZMA,pgm/csail.pgm,1929177,100,48.7634,220.988,9.22982,4.44372,0.348957,
LZMA Fast,pgm/csail.pgm,1929177,100,45.522,34.7171,1.35789,4.60564,0.248461,
LZMA Slow,pgm/csail.pgm,1929177,100,53.0883,383.2,11.6805,4.31766,0.222807,
QuickLZ,pgm/csail.pgm,1929177,100,15.3592,2.70828,0.233216,1.48964,0.166522,
LZ4,pgm/killian010.pgm,9732097,100,40.5533,2.99336,0.149536,2.89704,0.434395,
LZ4 HC,pgm/killian010.pgm,9732097,100,72.1163,772.378,69.077,2.11574,0.349731,
DEFLATE (zlib),pgm/killian010.pgm,9732097,100,94.0436,120.588,5.94127,20.971,1.13585,
DEFLATE (zlib) Fast,pgm/killian010.pgm,9732097,100,52.831,43.5024,2.95151,13.0759,0.633416,
DEFLATE (zlib) Slow,pgm/killian010.pgm,9732097,100,103.676,374.66,51.4827,20.2262,1.58339,
LZMA,pgm/killian010.pgm,9732097,100,110.622,806.142,87.7916,16.2892,2.01927,
LZMA Fast,pgm/killian010.pgm,9732097,100,102.493,152.309,5.2302,17.1622,1.25988,
LZMA Slow,pgm/killian010.pgm,9732097,100,121.472,1298.17,113.211,15.6727,1.38164,
QuickLZ,pgm/killian010.pgm,9732097,100,29.8563,15.0519,3.29608,6.1328,1.2714,
