technique_name,dataset_name,dataset_size,num_iterations,ratio,average_compression_time_ms,std_compression_time_ms,average_decompression_time_ms,std_decompression_time_ms
LZ4,pgm/intel.pgm,753025,100,11.7414,0.452174,0.0641988,0.410154,0.06363
LZ4 HC,pgm/intel.pgm,753025,100,22.8501,89.312,3.72061,0.241377,0.0277228
DEFLATE (zlib),pgm/intel.pgm,753025,100,27.7265,15.1304,1.1788,1.42347,0.140182
DEFLATE (zlib) Fast,pgm/intel.pgm,753025,100,18.4737,4.50264,0.736435,1.38829,0.240878
DEFLATE (zlib) Slow,pgm/intel.pgm,753025,100,31.6331,106.519,4.16663,1.30645,0.19522
LZMA,pgm/intel.pgm,753025,100,31.92,126.282,7.31524,2.36385,0.287013
LZMA Fast,pgm/intel.pgm,753025,100,29.8251,17.0801,1.156,2.48721,0.180933
LZMA Slow,pgm/intel.pgm,753025,100,34.0289,229.789,13.0859,2.28968,0.241699
QuickLZ,pgm/intel.pgm,753025,100,10.5187,1.22165,0.15276,0.742481,0.0687511
Snappy,pgm/intel.pgm,753025,100,10.8071,0.75309,0.127512,0.529319,0.0996736
LZ4,pgm/aces.pgm,1280287,100,12.5734,0.737898,0.118167,0.656754,0.0954742
LZ4 HC,pgm/aces.pgm,1280287,100,25.8623,129.498,9.9717,0.381131,0.0711197
DEFLATE (zlib),pgm/aces.pgm,1280287,100,30.4135,24.7584,1.49278,2.27353,0.329637
DEFLATE (zlib) Fast,pgm/aces.pgm,1280287,100,19.573,8.26037,1.6616,2.41425,0.444267
DEFLATE (zlib) Slow,pgm/aces.pgm,1280287,100,35.4023,165.532,5.24992,1.91064,0.341901
LZMA,pgm/aces.pgm,1280287,100,34.815,187.78,10.3723,3.60015,0.352538
LZMA Fast,pgm/aces.pgm,1280287,100,32.8633,27.4526,1.42182,4.04572,0.499422
LZMA Slow,pgm/aces.pgm,1280287,100,37.7465,327.663,11.5554,3.62876,0.431443
QuickLZ,pgm/aces.pgm,1280287,100,10.9759,2.11142,0.243054,1.29769,0.127622
Snappy,pgm/aces.pgm,1280287,100,11.3352,1.20599,0.12735,0.841902,0.108266
LZ4,pgm/killian005.pgm,49561601,100,61.8855,15.0167,2.04569,15.9073,2.94617
LZ4 HC,pgm/killian005.pgm,49561601,100,102.05,3928.3,86.8325,12.4447,1.46376
DEFLATE (zlib),pgm/killian005.pgm,49561601,100,149.383,614.592,24.0875,110.101,4.45021
DEFLATE (zlib) Fast,pgm/killian005.pgm,49561601,100,77.6953,242.236,21.732,65.1652,7.47955
DEFLATE (zlib) Slow,pgm/killian005.pgm,49561601,100,156.064,1375.26,50.3694,109.791,5.90444
LZMA,pgm/killian005.pgm,49561601,100,183.704,3685.39,150.48,75.4362,6.84588
LZMA Fast,pgm/killian005.pgm,49561601,100,165.082,776.456,20.6407,83.2567,6.06081
LZMA Slow,pgm/killian005.pgm,49561601,100,193.595,4995.91,386.814,63.4425,5.07394
QuickLZ,pgm/killian005.pgm,49561601,100,40.0631,53.6321,2.38295,21.701,1.36585
Snappy,pgm/killian005.pgm,49561601,100,18.4007,17.9866,0.799058,23.3355,1.08043
LZ4,pgm/csail.pgm,1929177,100,18.2356,0.778867,0.051759,0.724618,0.0902228
LZ4 HC,pgm/csail.pgm,1929177,100,35.9525,179.027,2.69832,0.432409,0.087354
DEFLATE (zlib),pgm/csail.pgm,1929177,100,43.2735,27.9268,1.20319,3.36969,0.172106
DEFLATE (zlib) Fast,pgm/csail.pgm,1929177,100,26.8183,9.09999,0.382076,2.71697,0.177886
DEFLATE (zlib) Slow,pgm/csail.pgm,1929177,100,49.2049,146.207,1.76017,3.02718,0.0694166
LZMA,pgm/csail.pgm,1929177,100,48.7634,200.306,11.9105,4.14184,0.302354
LZMA Fast,pgm/csail.pgm,1929177,100,45.522,33.28,0.447588,4.30431,0.105458
LZMA Slow,pgm/csail.pgm,1929177,100,53.0883,342.213,8.81525,4.01894,0.261164
QuickLZ,pgm/csail.pgm,1929177,100,15.3592,2.53277,0.117415,1.40703,0.0884801
Snappy,pgm/csail.pgm,1929177,100,13.387,1.25003,0.0593229,1.00753,0.0482521
LZ4,pgm/killian010.pgm,9732097,100,40.5533,2.92016,0.19768,2.79712,0.406001
LZ4 HC,pgm/killian010.pgm,9732097,100,72.1163,710.753,32.1653,1.99217,0.146945
DEFLATE (zlib),pgm/killian010.pgm,9732097,100,94.0436,111.906,1.73845,18.6103,0.49189
DEFLATE (zlib) Fast,pgm/killian010.pgm,9732097,100,52.831,41.2071,3.08262,11.6472,0.846011
DEFLATE (zlib) Slow,pgm/killian010.pgm,9732097,100,103.676,316.5,5.2082,17.499,0.717255
LZMA,pgm/killian010.pgm,9732097,100,110.622,663.896,15.6445,13.5946,0.526884
LZMA Fast,pgm/killian010.pgm,9732097,100,102.493,141.536,1.21602,14.58,0.316272
LZMA Slow,pgm/killian010.pgm,9732097,100,121.472,1269.68,158.155,14.9374,1.93815
QuickLZ,pgm/killian010.pgm,9732097,100,29.8563,14.0267,2.2739,5.77384,0.611619
Snappy,pgm/killian010.pgm,9732097,100,16.951,5.19166,0.751394,5.10068,0.491617
