technique_name,dataset_name,dataset_size,num_iterations,ratio,average_compression_time_ms,std_compression_time_ms,average_decompression_time_ms,std_decompression_time_ms
LZ4,pgm/intel.pgm,753025,100,11.7414,0.381372,0.019942,0.347206,0.0445168,
LZ4 HC,pgm/intel.pgm,753025,100,22.8501,80.8173,1.27023,0.209071,0.0155623,
DEFLATE (zlib),pgm/intel.pgm,753025,100,27.7265,13.8825,0.373894,1.38799,0.0835256,
DEFLATE (zlib) Fast,pgm/intel.pgm,753025,100,18.4737,4.09792,0.290714,1.32327,0.170296,
DEFLATE (zlib) Slow,pgm/intel.pgm,753025,100,31.6331,98.4229,1.88676,1.234,0.0282016,
LZMA,pgm/intel.pgm,753025,100,31.92,118.049,1.99189,2.15312,0.0412446,
LZMA Fast,pgm/intel.pgm,753025,100,29.8251,15.5095,0.196434,2.3458,0.0937188,
LZMA Slow,pgm/intel.pgm,753025,100,34.0289,217.128,1.96743,2.13036,0.0992124,
QuickLZ,pgm/intel.pgm,753025,100,10.5187,1.13702,0.134567,0.691979,0.0298612,
LZ4,pgm/aces.pgm,1280287,100,12.5734,0.643493,0.0440329,0.573112,0.0404013,
LZ4 HC,pgm/aces.pgm,1280287,100,25.8623,111.483,2.06409,0.318502,0.0141155,
DEFLATE (zlib),pgm/aces.pgm,1280287,100,30.4135,22.1136,0.179094,2.14669,0.0375158,
DEFLATE (zlib) Fast,pgm/aces.pgm,1280287,100,19.573,6.81848,0.31342,2.15217,0.055439,
DEFLATE (zlib) Slow,pgm/aces.pgm,1280287,100,35.4023,151.054,1.42204,1.81056,0.031234,
LZMA,pgm/aces.pgm,1280287,100,34.815,171.199,2.94724,3.31994,0.206529,
LZMA Fast,pgm/aces.pgm,1280287,100,32.8633,24.7796,0.923421,3.58945,0.174576,
LZMA Slow,pgm/aces.pgm,1280287,100,37.7465,298.911,1.53693,3.21485,0.0438161,
QuickLZ,pgm/aces.pgm,1280287,100,10.9759,1.89046,0.0733041,1.15866,0.0312655,
LZ4,pgm/csail.pgm,1929177,100,18.2356,0.834854,0.0545583,0.763639,0.0864404,
LZ4 HC,pgm/csail.pgm,1929177,100,35.9525,190.878,9.5325,0.445323,0.0239104,
DEFLATE (zlib),pgm/csail.pgm,1929177,100,43.2735,29.5952,1.46948,3.74519,0.190437,
DEFLATE (zlib) Fast,pgm/csail.pgm,1929177,100,26.8183,10.025,0.94204,3.10749,0.20686,
DEFLATE (zlib) Slow,pgm/csail.pgm,1929177,100,49.2049,158.206,5.45195,3.44409,0.231456,
LZMA,pgm/csail.pgm,1929177,100,48.7634,220.988,9.22982,4.44372,0.348957,
LZMA Fast,pgm/csail.pgm,1929177,100,45.522,34.7171,1.35789,4.60564,0.248461,
LZMA Slow,pgm/csail.pgm,1929177,100,53.0883,383.2,11.6805,4.31766,0.222807,
QuickLZ,pgm/csail.pgm,1929177,100,15.3592,2.70828,0.233216,1.48964,0.166522,
